start_id,end_id,normalized_relation
C0061622,C0007634,BE
C0030054,C0023768,BE
C0007012,C0023768,BE
C0598629,C0023768,BE
C0043047,C0025255,BE
C0023768,C0567416,BE
C0023768,C0022023,BE
C0567416,C0007603,BE
C0019139,C0599635,BE
C0019139,C0007292,BE
C0599635,C0475370,BE
C0475370,C0026649,BE
C0007292,C0205369,BE
C0007292,C0025255,BE
C0086045,C0005528,BE
C0013790,C0005528,BE
C0005529,C0567416,BE
C0005529,C0020291,BE
C0005529,C1948027,BE
C0033684,C4505125,BE
C0033684,C0010124,BE
C0033684,C0007634,BE
C0025255,C0043047,BE
C0026826,C0007634,BE
C0241938,C0007634,BE
C0007634,C0700321,BE
C0025255,C0700321,MEDIATE
C0424589,C1420193,BE
C0424589,C0007634,BE
C0007634,C0424589,BE
C0022116,C0424589,BE
C0441712,C0175996,BE
C0441712,C0029219,BE
C0391845,C0020283,BE
C0014139,C0567416,BE
C0230653,C0567416,BE
C0230653,C0007603,BE
C0567416,C1145667,OCCUR_IN
C0871786,C0008905,BE
C0008905,C0033684,BE
C0015283,C0567416,BE
C0033684,C0230779,BE
C0033684,C0018042,BE
C1548151,C0033684,BE
C1548151,C0033684,BE
C0007294,C0597488,BE_NEEDED_FOR
C0230653,C0015349,BE
C0014139,C0033684,BE
C0031945,C0333262,BE
C0031308,C0024432,BE
C0031308,C0027950,BE
C0031310,C0024369,BE
C0597601,C0007634,BE
C0015283,C0007603,BE
C0033684,C0886515,BE
C0886515,C0007603,BE
C0886515,C0423896,BE
C0597601,C1185625,BE
C0597601,C0221908,MECHANISM_IS
C0442805,C0442805,ROLE_IN
C0230653,C2936531,BE
C0230653,C0001455,BE
C0230653,C0282625,BE
C0230653,C1414662,BE
C0379710,C0230653,BE
C0230653,C0598721,BE
C0026882,C0026850,BE
C0026882,C0000768,BE
C0031945,C1184743,BE
C0031945,C0220781,BE
C0597361,C0220781,BE
C0887885,C0887883,BE
C0887883,C1166848,BE
C1166848,C0024369,BE
C0597361,C0040679,BE
C0597361,C0023823,BE
C0023823,C0008377,BE
C0040679,C0302583,BE
C0243067,C0020445,BE
C0010853,C0033684,BE
C0025979,C0016890,BE
C0016890,C1383501,BE
C0016890,C0025979,BE
C0221908,C0242358,BE
C0221908,C0011703,BE
C0015350,C0007634,BE
C0007634,C0230616,LOCATE_IN
C0027096,C0001271,BE
C0026649,C0020291,BE
C0020291,C0026820,BASIS_IS
C1180307,C0007634,BE
C1180307,C0007634,BE
C0064635,C0521447,BE
C0021770,C0007634,BE
C0042666,C1257975,LOCATE_IN
C0042666,C0007634,BE
C0011696,C0596981,LOCATE_IN
C0011696,C0337143,BE
C0001271,C0337143,BE
C0027096,C0337143,BE
C0027834,C0004461,LOCATE_IN
C0027834,C0237897,BE
C0027834,C0026837,BE
C0017626,C0027836,LOCATE_IN
C0027836,C0027882,BE
C0014597,C0010803,BE
C0010803,C0041366,BE
C0021770,C0039526,BE
C0021770,C0007634,BE
C0028584,C0521447,BE
C0028584,C1710463,BE
C0026882,C0026850,BE
C0026882,C0033300,BE
C0033300,C0012634,BE
C0021770,C0033684,BE
C0021770,C0033684,BE
C0026046,C0596448,BE
C0026046,C0596448,BE
C3893601,C0242607,BE
C0242607,C0007610,BE
C0242607,C0007708,BE
C0026046,C0033684,BE
C0033684,C0333262,BE
C0033684,C0029219,BE
C0085139,C0005528,BE
C0013352,C5137243,BE
C0026046,C0443254,BE
C1657581,C0026255,OCCUR_IN
C0026046,C0205225,BE
C3156332,C0334094,BE
C3156332,C0007589,BE
C0026046,C3158395,BE
C0026046,C0016192,BE
C3158395,C0599333,LOCATE_IN
C0016192,C0037868,LOCATE_IN
C0007634,C1706311,BE
C1706311,C0443254,BE
C0034800,C0023688,BE
C0242358,C0242358,BE
C0242358,C0007634,BE
C0242358,C0567416,BE
C0242358,C0250400,BE
C0242358,C2718006,BE
C0242358,C0007634,BE
C0887872,C0011703,BE
C0887872,C0007634,BE
C0887872,C0007634,BE
C0011703,C0007634,BE
C0230616,C0007634,BE
C0011703,C1518792,BE
C0007634,C0006631,BE
C0006631,C0007634,BE
C0011703,C0007634,BE
C1154395,C0007634,BE
C1154395,C0007634,BE
C1154395,C0007608,BE
C0021699,C0021701,BE
C0021701,C0007634,BE
C0021701,C0010853,BE
C0887870,C0230616,BE
C0887870,C0007634,BE
C0022023,C0206117,BE
C0022023,C0037083,BE
C0206117,C0230609,BE
C0230609,C0021699,BE
C0230609,C1328819,BE
C0007634,C0205144,BE
C0007634,C0205144,BE
C0007634,C0206117,OCCUR_IN
C0007634,C0031843,BE
C0014239,C0021699,BE
C0014239,C0023779,BE
C0014239,C0567416,BE
C0021699,C0007603,BE
C0021699,C0007634,BE
C0023779,C0007603,BE
C0023779,C0007634,BE
C0220781,C0020445,BE
C0033684,C2613145,BE
C2613145,C0007587,BE
C2613145,C1155342,REFER_TO_AS
C2613145,C0162638,BE
C1655235,C0014239,DEGRADE
C0028959,C0014239,BE
C0025255,C0010674,BE
C0017337,C1709915,BE
C1517945,C2718001,BE
C1517945,C0033684,BE
C1517945,C0033684,BE
C1561643,C0005528,BE
C1561643,C0036536,BE
C1561643,C0239998,BE
C0033684,C0230779,BE
C0033684,C0018042,BE
C0023779,C0230779,BE
C0023779,C0018042,BE
C0028959,C0018042,BE
C0028959,C0018042,BE
C0018042,C0033684,BE
C0018042,C0033684,BE
C0230789,C0301818,BE
C0230789,C0567416,BE
C0332157,C0205177,BE
C0031412,C0010762,BE
C0230789,C0007634,BE
C0036226,C0205555,BE
C0036226,C0026820,BE
C0036226,C0022023,BE
C0450237,C0024369,DEPEND_ON
C0450237,C0208355,DEPEND_ON
C0024369,C0020289,BE
C0391845,C0014239,BE
C0391845,C1709915,BE
C0065688,C0018042,OCCUR_IN
C0033684,C0024369,BE
C1166738,C0597357,BE
C0520510,C0887883,PASS_TO
C0520510,C0887883,PASS_TO
C0887883,C1185625,BE
C1166848,C0024369,BE
C0004391,C0029219,BE
C0004391,C1704241,BE
C5380085,C0014239,BE
C3887595,C0024369,BE
C0004391,C0007620,BE
C0031308,C0031307,OCCUR_IN
C0024432,C0031307,BE
C0027950,C0031307,BE
C0031310,C0024369,BE
C0041538,C0033684,BE
C0208355,C0033684,BE
C0208355,C0700321,BE
C0026237,C0686817,EVOLVE_AS
C0684063,C0686817,BE
C0026237,C3272453,BE
C0012929,C0033684,BE
C0026237,C0003232,BE_SENSITIVE_TO
C0026237,C1658120,BE
C0026237,C0332466,BE
C0024369,C0034850,BE
C0024369,C0031310,BE
C1420099,C1704259,BE
C0007634,C1704259,BE
C0567416,C1383501,BE
C0208355,C0033684,DEGRADE
C0033684,C1155342,BE
C1155342,C0033684,BE
C0033684,C0033684,BE
C1155342,C0162638,BE
C0012929,C0205102,BE
C0729650,C1327307,BE
C0729650,C1158805,BE
C0026237,C0001480,BE
C0079411,C0007004,BE
C0079411,C0015684,BE
C0026237,C0025519,BE
C0026237,C0567416,BE_SOURCE_OF
C0026237,C0567416,BE_SOURCE_OF
C0026237,C0007634,BE
C0026237,C0030013,BE
C0542479,C0017725,BE
C0026237,C0005572,ROLE_IN
C0026237,C0162638,BE
C0162638,C0162638,BE
C0596952,C0014442,BE
C0026237,C0014442,BE
C1179889,C0220781,BE_SITE_OF
C0596952,C0033684,BE
C0282636,C0424589,BE_SOURCE_OF
C0022023,C0022023,BE
C0022023,C0022023,BE
C0022023,C1704640,BE_TRANSFERRED_TO
