START_ID,END_ID,TYPE
C0033684,C0886515,concentrated_in
C0886515,C0007603,fuse_with
C0886515,C0423896,expel
C0597601,C1185625,is_a
C0597601,C0221908,is_a_mechanism_for
C0442805,C0442805,plays_a_role_in
C0230653,C2936531,associated_with
C0230653,C0001455,associated_with
C0230653,C0282625,associated_with
C0230653,C1414662,associated_with
C0379710,C0230653,is_major_structural_protein_of
C0230653,C0598721,is_a
C0026882,C0026850,associated_with
C0026882,C0000768,associated_with
C0031945,C1184743,is_a
C0031945,C0220781,begins_with
C0597361,C0220781,begins_with
C0887885,C0887883,fuses_with
C0887883,C1166848,matures_to
C1166848,C0024369,fuses_with
C0597361,C0040679,is_uptake_mechanism_for
C0597361,C0023823,is_uptake_mechanism_for
C0023823,C0008377,releases
C0040679,C0302583,releases
C0243067,C0020445,causes
C0010853,C0033684,is_a
C0025979,C0016890,are_formed_from
C0016890,C1383501,is_a
C0016890,C0025979,polymerize_into
C0221908,C0242358,involves
C0221908,C0011703,involves
C0015350,C0007634,involves
C0007634,C0230616,located_in
C0027096,C0001271,binds_to
C0026649,C0020291,driven_by
C0020291,C0026820,is_basis_of
C1180307,C0007634,controls
C1180307,C0007634,controls
C0064635,C0521447,contribute_to
C0021770,C0007634,used_for
C0042666,C1257975,located_in
C0042666,C0007634,function
C0011696,C0596981,located_in
C0011696,C0337143,forms
C0001271,C0337143,contract_on
C0027096,C0337143,contract_on
C0027834,C0004461,located_in
C0027834,C0237897,provides
C0027834,C0026837,provides
C0017626,C0027836,located_in
C0027836,C0027882,support
C0014597,C0010803,express
C0010803,C0041366,serve_as
C0021770,C0039526,impart
C0021770,C0007634,allow
C0028584,C0521447,maintains
C0028584,C1710463,regulates
C0026882,C0026850,causes
C0026882,C0033300,causes
C0033300,C0012634,is_a
C0021770,C0033684,form
C0021770,C0033684,form
C0026046,C0596448,composed_of
C0026046,C0596448,composed_of
C3893601,C0242607,embedded_in
C0242607,C0007610,located_near
C0242607,C0007708,associated_with
C0026046,C0033684,function_as
C0033684,C0333262,allow
C0033684,C0029219,allow
C0085139,C0005528,are_motors_for
C0013352,C5137243,move
C0026046,C0443254,provide
C1657581,C0026255,occurs_during
C0026046,C0205225,form
C3156332,C0334094,regulate
C3156332,C0007589,regulate
C0026046,C3158395,form
C0026046,C0016192,form
C3158395,C0599333,located_in
C0016192,C0037868,located_in
C0007634,C1706311,form
C1706311,C0443254,provide
C0034800,C0023688,recognize
C0242358,C0242358,is_a
C0242358,C0007634,function
C0242358,C0567416,function
C0242358,C0250400,composed_of
C0242358,C2718006,composed_of
C0242358,C0007634,function
C0887872,C0011703,is_a
C0887872,C0007634,function
C0887872,C0007634,function
C0011703,C0007634,is_a
C0230616,C0007634,function
C0011703,C1518792,is_a
C0007634,C0006631,formed_by
C0006631,C0007634,linked_to
C0011703,C0007634,function
C1154395,C0007634,associated_with
C1154395,C0007634,influence
C1154395,C0007608,influence
C0021699,C0021701,is_a
C0021701,C0007634,attach_to
C0021701,C0010853,function
C0887870,C0230616,located_at
C0887870,C0007634,function
C0022023,C0206117,is_a
C0022023,C0037083,function
C0206117,C0230609,consists_of
C0230609,C0021699,formed_by
C0230609,C1328819,function
C0007634,C0205144,reduces
C0007634,C0205144,reduces
C0007634,C0206117,occurs_through
C0007634,C0031843,allows
C0014239,C0021699,is_site_of_synthesis_of
C0014239,C0023779,is_site_of_synthesis_of
C0014239,C0567416,is_site_of_synthesis_of
C0021699,C0007603,needed_for
C0021699,C0007634,needed_for
C0023779,C0007603,needed_for
C0023779,C0007634,needed_for
C0220781,C0020445,cause
C0033684,C2613145,leads_to
C2613145,C0007587,triggers
C2613145,C1155342,is_also_called
C2613145,C0162638,triggers
C1655235,C0014239,are_degraded_in
C0028959,C0014239,are_added_in
C0025255,C0010674,causes
C0017337,C1709915,results_in
C1517945,C2718001,leads_to
C1517945,C0033684,leads_to
C1517945,C0033684,leads_to
C1561643,C0005528,leads_to
C1561643,C0036536,leads_to
C1561643,C0239998,leads_to
C0033684,C0230779,are_shuttled_from
C0033684,C0018042,are_shuttled_to
C0023779,C0230779,are_shuttled_from
C0023779,C0018042,are_shuttled_to
C0028959,C0018042,are_modified_in
C0028959,C0018042,are_appended_in
C0018042,C0033684,recycles
C0018042,C0033684,dispatches
C0230789,C0301818,synthesizes
C0230789,C0567416,catabolizes
C0332157,C0205177,leads_to
C0031412,C0010762,is_catabolized_by
C0230789,C0007634,sequesters
C0036226,C0205555,is_a
C0036226,C0026820,regulates
C0036226,C0022023,regulates
C0450237,C0024369,depends_on
C0450237,C0208355,depends_on
C0024369,C0020289,contain
C0391845,C0014239,are_synthesized_in
C0391845,C1709915,are_tagged_with
C0065688,C0018042,occurs_in
C0033684,C0024369,are_delivered_to
C1166738,C0597357,express
C0520510,C0887883,passes_to
C0520510,C0887883,passes_to
C0887883,C1185625,is_a
C1166848,C0024369,mature_into
C0004391,C0029219,shuttles
C0004391,C1704241,shuttles
C5380085,C0014239,derived_from
C3887595,C0024369,fuses_with
C0004391,C0007620,preserves
C0031308,C0031307,occurs_in
C0024432,C0031307,is_a
C0027950,C0031307,is_a
C0031310,C0024369,fuses_with
C0041538,C0033684,targets
C0208355,C0033684,digest
C0208355,C0700321,produce
C0026237,C0686817,evolved_from
C0684063,C0686817,engulfed
C0026237,C3272453,contain
C0012929,C0033684,encodes
C0026237,C0003232,are_sensitive_to
C0026237,C1658120,undergo
C0026237,C0332466,undergo
C0024369,C0034850,fuse_with
C0024369,C0031310,fuse_with
C1420099,C1704259,activates
C0007634,C1704259,activates
C0567416,C1383501,tag
C0208355,C0033684,degrade
C0033684,C1155342,trigger
C1155342,C0033684,causes
C0033684,C0033684,facilitate
C1155342,C0162638,induces
C0012929,C0205102,is_inherited_from
C0729650,C1327307,derive_from
C0729650,C1158805,derive_from
C0026237,C0001480,generates
C0079411,C0007004,uses_substrate
C0079411,C0015684,uses_substrate
C0026237,C0025519,involved_in
C0026237,C0567416,is_source_of
C0026237,C0567416,is_source_of
C0026237,C0007634,involved_in
C0026237,C0030013,provides_machinery_for
C0542479,C0017725,uses_substrate
C0026237,C0005572,has_role_in
C0026237,C0162638,regulates
C0162638,C0162638,is_a
C0596952,C0014442,contains
C0026237,C0014442,contains
C1179889,C0220781,is_site_of
C0596952,C0033684,contains
C0282636,C0424589,is_source_of
C0022023,C0022023,drives
C0022023,C0022023,transfer
C0022023,C1704640,are_transferred_from
C0022023,C1179889,are_transferred_to
C0107264,C0596902,is_a
C0107264,C0009170,is_also_called
C0107264,C0812409,dissipates
C0812409,C0014948,produces
C0026237,C0162772,is_source_of
C0242184,C0007634,causes
C3896997,C0007634,causes
C0026237,C0007634,causes
C0030013,C0001480,produces
C1520120,C0598754,is_also_called
C1520120,C0064582,produces
C0017725,C1523389,primes
C0017797,C1523389,primes
C0205103,C0023779,are_used_to_make
C0205103,C0028606,are_used_to_make
C0205103,C0033684,are_used_to_make
C0026237,C0007587,participates_in
C0026237,C0027540,has_role_in
C0026237,C0162638,has_role_in
C0026237,C0007620,regulates
C1154413,C0851285,leads_to
C1154413,C1280500,leads_to
C0332197,C0162638,causes
C0007634,C0599732,respond_to
C0007634,C0014239,respond_to
C0445623,C0014239,is_a
C2752543,C0007578,mediated_by
C2752543,C0206117,mediated_by
C0206117,C0015295,mediated_by
C0015295,C0700321,permit_movement_of
C0015295,C0870883,permit_movement_of
C0015295,C3658238,permit_movement_of
C0001455,C0567416,is_a
C0007634,C0021701,mediated_by
C0079189,C0021368,are_mediators_of
C0079189,C0020964,are_mediators_of
C0019932,C0014133,secreted_by
C0019932,C0007634,act_on
C0525011,C0007634,affects
C0525010,C0567416,affects
C0027882,C0027908,secrete
C0027908,C0221284,act_on
C0039062,C0021721,is_a
C0019932,C0005775,released_into
C0019932,C0221284,acts_on
C0007634,C0033684,transmitted_via
C1519315,C0597357,bind
C0023688,C0597357,bind
C0597357,C0699040,located_on
C0597357,C0007634,located_within
C1870051,C0040648,include
C0040648,C0023688,activated_by
C0023688,C0007603,transit
C0014695,C0887829,activate
C0301818,C0887829,activate
C0225336,C2960476,regulate
C0028128,C0851285,mediates
C0028128,C0225336,generated_by
C0028128,C0026844,diffuses_into
C0028128,C0018358,activates
C0018358,C0018338,generates
C0018338,C0007634,is_a
C0018338,C0205357,causes
C0034800,C0021699,are
C1517050,C0023688,bind
C1517880,C0022009,can_open
C1517880,C0751981,can_activate
C1517880,C0014442,can_activate
C1517880,C0030940,can_trigger
C1517880,C0040648,can_activate
C3820630,C0596290,drive
C1704259,C1821244,regulate
C1520113,C1821244,regulate
C4688374,C1821244,regulate
C0699040,C0008073,deranged_in
C0699040,C0006826,deranged_in
C1145667,C0597357,induces
C0206588,C0023688,binds
C1235660,C0023688,recognizes
C1235660,C0007634,is_cleaved_to_yield
C0007634,C0007610,can_enter
C0007634,C0040649,influences
C1704259,C0007634,releases
C0033684,C0243125,drives
C0006675,C0040648,acts_as
C1416917,C1710082,act_as
C1149299,C0022023,causes
C1149299,C0031715,causes
C1449886,C0205254,couples
C1879547,C1425569,activates
C1425569,C0752312,phosphorylates
C0211705,C1333198,phosphorylates
C0211705,C0040648,phosphorylates
C1879547,C0031623,interacts_with
